algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
got-tombstone,weak-list-spec,3,50,2000,2000,0,0,1.0,1,,0,37.27
logoot,interleaving,3,50,2000,1835,0,0,0.9175,1,,0,6.66
logoot-split,convergence,3,50,2000,0,0,0,0.0,0,,0,3.93
lseq,convergence,3,50,2000,0,0,0,0.0,0,,0,2.99
got-tombstone,strong-list-spec,3,50,2000,2000,0,0,1.0,1,,0,41.87
logoot,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,22.33
logoot-split,forward-interleaving,3,50,2000,449,0,0,0.2245,10,,0,10.93
logoot-split,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,14.71
lseq,forward-interleaving,3,50,2000,1462,0,0,0.731,1,,0,5.6
lseq,interleaving,3,50,2000,1858,0,0,0.929,1,,0,5.54
lseq,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,12.3
markandretrace,convergence,3,50,2000,0,0,0,0.0,0,,0,6.55
logoot-split,interleaving,3,50,2000,762,0,0,0.381,4,,0,17.95
pps,convergence,3,50,2000,0,0,0,0.0,0,,0,2.74
markandretrace,forward-interleaving,3,50,2000,1812,0,0,0.906,1,,0,8.41
markandretrace,interleaving,3,50,2000,1812,0,0,0.906,1,,0,9.31
markandretrace,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,13.71
pps,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,10.57
pps,interleaving,3,50,2000,1966,0,0,0.983,1,,0,6.45
pps,forward-interleaving,3,50,2000,1801,0,0,0.9005,1,,0,10.2
soct2,convergence,3,50,2000,0,0,0,0.0,0,,0,8.93
logoot-split,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,40.72
lseq,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,38.96
markandretrace,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,33.09
soct2,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,16.44
pps,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,31.06
soct2,forward-interleaving,3,50,2000,417,0,0,0.2085,4,,0,15.53
soct4,convergence,3,50,2000,0,0,0,0.0,0,,0,2.66
soct3,convergence,3,50,2000,0,0,0,0.0,0,,0,18.62
soct2,interleaving,3,50,2000,623,0,0,0.3115,4,,0,20.95
soct2,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,30.24
soct3,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,15.85
treedoc,convergence,3,50,2000,0,0,0,0.0,0,,0,2.63
soct3,forward-interleaving,3,50,2000,255,0,0,0.1275,4,,0,18.22
soct4,forward-interleaving,3,50,2000,280,0,0,0.14,10,,0,8.32
soct4,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,16.19
soct4,strong-list-spec,3,50,2000,251,0,0,0.1255,4,,0,13.01
treedoc,forward-interleaving,3,50,2000,1777,0,0,0.8885,1,,0,4.49
treedoc,interleaving,3,50,2000,1965,0,0,0.9825,1,,0,4.14
soct4,interleaving,3,50,2000,337,0,0,0.1685,10,,0,16.97
treedoc,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,12.37
soct3,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,40.55
soct3,interleaving,3,50,2000,326,0,0,0.163,4,,0,33.23
woot,convergence,3,50,2000,0,0,0,0.0,0,,0,18.45
wooto,convergence,3,50,2000,0,0,0,0.0,0,,0,10.68
woot,strong-list-spec,3,50,2000,0,0,0,0.0,0,,0,21.13
