algorithm,property,strategy,clients,ops,depth,seed,outcome,seconds,work
woot,forward-interleaving,dfs,3,30,5,1,found,1.215802,7958
woot,forward-interleaving,bfs-random,3,30,5,1,found,0.745284,4650
woot,forward-interleaving,dfs-random,3,30,5,1,found,0.074833,477
woot,interleaving,random,3,30,5,1,found,0.03506,10
woot,interleaving,bfs,3,30,5,1,found,0.567437,3373
woot,interleaving,dfs,3,30,5,1,found,0.414612,2619
woot,interleaving,bfs-random,3,30,5,1,found,0.2278,1404
woot,interleaving,dfs-random,3,30,5,1,found,0.080457,477
wooto,forward-interleaving,random,3,30,5,1,found,0.022329,10
wooto,forward-interleaving,bfs,3,30,5,1,found,0.55912,3373
wooto,forward-interleaving,dfs,3,30,5,1,found,1.250498,7958
wooto,forward-interleaving,bfs-random,3,30,5,1,found,0.759484,4650
wooto,forward-interleaving,dfs-random,3,30,5,1,found,0.076899,477
wooto,interleaving,random,3,30,5,1,found,0.030448,10
wooto,interleaving,bfs,3,30,5,1,found,0.566184,3373
wooto,interleaving,dfs,3,30,5,1,found,0.42769,2619
wooto,interleaving,bfs-random,3,30,5,1,found,0.235748,1404
wooto,interleaving,dfs-random,3,30,5,1,found,0.082401,477
yjs,interleaving,random,3,30,5,1,found,0.023137,11
yjs,interleaving,bfs,3,30,5,1,found,1.208668,8157
yjs,interleaving,dfs,3,30,5,1,found,0.387258,2619
yjs,interleaving,bfs-random,3,30,5,1,found,0.220664,1404
yjs,interleaving,dfs-random,3,30,5,1,found,0.682353,4484
