algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
tibot,strong-list-spec,3,15,400,1,0,0,0.0025,150,,0,0.35
tibot2,strong-list-spec,3,15,400,1,0,0,0.0025,150,,0,0.34
prosemirror,strong-list-spec,3,5,400,0,0,0,0.0,0,,0,0.12
prosemirror,strong-list-spec,3,15,400,15,0,0,0.0375,7,,0,0.33
jupiter,strong-list-spec,3,50,400,129,0,0,0.3225,5,,0,1.51
sharedb,strong-list-spec,3,50,400,49,0,0,0.1225,5,,0,1.15
adopted-tm11,strong-list-spec,3,5,400,108,0,0,0.27,2,,0,0.09
pot,strong-list-spec,3,50,400,81,0,0,0.2025,1,,0,1.53
easysync,strong-list-spec,3,50,400,56,0,0,0.14,2,,0,1.8
got,strong-list-spec,3,5,400,47,0,0,0.1175,11,,0,0.1
tibot2,strong-list-spec,3,50,400,48,0,0,0.12,22,,0,1.12
got,strong-list-spec,3,15,400,267,0,0,0.6675,1,,0,0.56
tibot,strong-list-spec,3,50,400,48,0,0,0.12,22,,0,1.88
adopted-tm11,strong-list-spec,3,15,400,334,0,0,0.835,1,,0,0.77
prosemirror,strong-list-spec,3,50,400,81,0,0,0.2025,1,,0,1.57
adopted-tm11,strong-list-spec,3,50,400,400,0,0,1.0,1,,0,5.78
got,strong-list-spec,3,50,400,397,0,0,0.9925,1,,0,5.72
cot,strong-list-spec,3,50,400,81,0,0,0.2025,1,,0,7.78
adopted-randolph,forward-interleaving,3,5,400,26,0,0,0.065,9,,0,0.08
abt,forward-interleaving,3,5,400,6,0,0,0.015,51,,0,0.11
adopted-tombstone,forward-interleaving,3,5,400,6,0,0,0.015,51,,0,0.13
cot,forward-interleaving,3,5,400,0,0,0,0.0,0,,0,0.13
abt,forward-interleaving,3,15,400,40,0,0,0.1,16,,0,0.29
logoot,forward-interleaving,3,5,400,37,0,0,0.0925,7,,0,0.06
adopted-randolph,forward-interleaving,3,15,400,136,0,0,0.34,1,,0,0.42
logoot,forward-interleaving,3,15,400,183,0,0,0.4575,1,,0,0.16
lseq,forward-interleaving,3,5,400,51,0,0,0.1275,3,,0,0.06
adopted-tombstone,forward-interleaving,3,15,400,40,0,0,0.1,16,,0,0.72
lseq,forward-interleaving,3,15,400,177,0,0,0.4425,1,,0,0.19
markandretrace,forward-interleaving,3,5,400,103,0,0,0.2575,6,,0,0.08
cot,forward-interleaving,3,15,400,10,0,0,0.025,44,,0,0.71
markandretrace,forward-interleaving,3,15,400,249,0,0,0.6225,5,,0,0.26
pot,forward-interleaving,3,5,400,0,0,0,0.0,0,,0,0.1
pot,forward-interleaving,3,15,400,10,0,0,0.025,44,,0,0.27
logoot,forward-interleaving,3,50,400,324,0,0,0.81,1,,0,1.07
pps,forward-interleaving,3,5,400,103,0,0,0.2575,6,,0,0.18
lseq,forward-interleaving,3,50,400,293,0,0,0.7325,1,,0,1.37
pps,forward-interleaving,3,15,400,255,0,0,0.6375,3,,0,0.5
treedoc,forward-interleaving,3,5,400,102,0,0,0.255,6,,0,0.14
treedoc,forward-interleaving,3,15,400,252,0,0,0.63,3,,0,0.4
pot,forward-interleaving,3,50,400,71,0,0,0.1775,4,,0,1.72
markandretrace,forward-interleaving,3,50,400,367,0,0,0.9175,1,,0,2.36
woot,forward-interleaving,3,5,400,6,0,0,0.015,51,,0,0.14
pps,forward-interleaving,3,50,400,359,0,0,0.8975,1,,0,1.73
treedoc,forward-interleaving,3,50,400,354,0,0,0.885,1,,0,1.13
wooto,forward-interleaving,3,5,400,6,0,0,0.015,51,,0,0.21
woot,forward-interleaving,3,15,400,41,0,0,0.1025,16,,0,0.9
soct4,forward-interleaving,3,5,400,0,0,0,0.0,0,,0,0.13
wooto,forward-interleaving,3,15,400,41,0,0,0.1025,16,,0,0.42
soct4,forward-interleaving,3,15,400,8,0,0,0.02,106,,0,0.45
easysync,forward-interleaving,3,5,400,96,0,0,0.24,1,,0,0.29
abt,forward-interleaving,3,50,400,89,0,0,0.2225,4,,0,5.2
easysync,forward-interleaving,3,15,400,259,0,0,0.6475,1,,0,0.83
logoot-split,forward-interleaving,3,5,400,3,0,0,0.0075,286,,0,0.18
soct4,forward-interleaving,3,50,400,54,0,0,0.135,10,,0,2.25
logoot-split,forward-interleaving,3,15,400,40,0,0,0.1,10,,0,0.54
easysync,forward-interleaving,3,50,400,342,0,0,0.855,1,,0,1.64
woot,forward-interleaving,3,50,400,92,0,0,0.23,8,,0,3.94
adopted-randolph,forward-interleaving,3,50,400,273,0,0,0.6825,1,,0,7.61
wooto,forward-interleaving,3,50,400,92,0,0,0.23,8,,0,3.93
cot,forward-interleaving,3,50,400,71,0,0,0.1775,4,,0,7.75
logoot-split,forward-interleaving,3,50,400,92,0,0,0.23,10,,0,2.29
adopted-tombstone,forward-interleaving,3,50,400,89,0,0,0.2225,4,,0,8.73
fugue,interleaving,3,5,400,1,0,0,0.0025,335,,0,0.13
automerge,interleaving,3,5,400,85,0,0,0.2125,3,,0,0.16
automerge,interleaving,3,15,400,240,0,0,0.6,1,,0,0.25
jupiter,interleaving,3,5,400,85,0,0,0.2125,4,,0,0.09
collabs,interleaving,3,5,400,0,0,0,0.0,0,,0,0.27
fugue,interleaving,3,15,400,8,0,0,0.02,100,,0,0.26
loro,interleaving,3,5,400,0,0,0,0.0,0,,0,0.13
jupiter,interleaving,3,15,400,245,0,0,0.6125,1,,0,0.18
rga,interleaving,3,5,400,85,0,0,0.2125,3,,0,0.06
rga,interleaving,3,15,400,240,0,0,0.6,1,,0,0.18
loro,interleaving,3,15,400,14,0,0,0.035,16,,0,0.44
collabs,interleaving,3,15,400,9,0,0,0.0225,6,,0,0.73
rga-s4,interleaving,3,5,400,86,0,0,0.215,3,,0,0.12
rga-s4,interleaving,3,15,400,248,0,0,0.62,1,,0,0.2
sharedb,interleaving,3,5,400,78,0,0,0.195,4,,0,0.12
sharedb,interleaving,3,15,400,239,0,0,0.5975,2,,0,0.25
jupiter,interleaving,3,50,400,370,0,0,0.925,1,,0,1.27
sync9,interleaving,3,5,400,0,0,0,0.0,0,,0,0.14
rga,interleaving,3,50,400,364,0,0,0.91,1,,0,1.1
automerge,interleaving,3,50,400,364,0,0,0.91,1,,0,1.91
tibot,interleaving,3,5,400,9,0,0,0.0225,28,,0,0.23
sync9,interleaving,3,15,400,14,0,0,0.035,16,,0,0.55
sharedb,interleaving,3,50,400,343,0,0,0.8575,2,,0,0.94
tibot2,interleaving,3,5,400,9,0,0,0.0225,28,,0,0.13
rga-s4,interleaving,3,50,400,375,0,0,0.9375,1,,0,1.57
tibot2,interleaving,3,15,400,113,0,0,0.2825,2,,0,0.31
tibot,interleaving,3,15,400,113,0,0,0.2825,2,,0,0.58
twc,interleaving,3,5,400,71,0,0,0.1775,4,,0,0.1
twc,interleaving,3,15,400,233,0,0,0.5825,1,,0,0.52
yjs,interleaving,3,5,400,2,0,0,0.005,11,,0,0.13
yjs,interleaving,3,15,400,26,0,0,0.065,11,,0,0.53
twc,interleaving,3,50,400,370,0,0,0.925,1,,0,1.13
tibot2,interleaving,3,50,400,312,0,0,0.78,1,,0,1.91
tibot,interleaving,3,50,400,312,0,0,0.78,1,,0,2.24
loro,interleaving,3,50,400,57,0,0,0.1425,10,,0,4.53
fugue,interleaving,3,50,400,45,0,0,0.1125,1,,0,5.07
sync9,interleaving,3,50,400,57,0,0,0.1425,10,,0,3.65
collabs,interleaving,3,50,400,44,0,0,0.11,6,,0,5.88
yjs,interleaving,3,50,400,84,0,0,0.21,6,,0,3.06
